0.25
0.35
0.4
10000
Aabgcq	Dxztdk	76	59	90	70	65	62	63	63	63
Aadheo	Jarkgc	84	81	83	78	71	76	90	88	81
Aadjom	Tssyot	63	90	72	81	79	100	82	97	89
Aaefpk	Lzcknq	74	67	69	69	84	85	75	90	81
Aaekfx	Gecqht	73	70	93	78	66	58	66	51	53
Aaetuk	Mqerkr	50	66	79	100	83	81	83	83	84
Aaewzd	Jzujcn	100	88	83	66	84	83	85	80	83
Aakyla	Ypfuiw	92	100	50	100	65	77	81	73	81
Aavvxp	Rdavjs	76	79	82	94	77	76	76	77	75
Aavzrd	Qnhuiu	50	100	89	57	90	82	96	72	74
Aawuhl	Hvmuuq	50	67	65	52	100	96	97	99	98
Aaxcxv	Bhrxqh	75	72	68	69	65	50	100	51	73
Aaydve	Wbjwhh	100	63	72	50	100	88	73	100	71
Abcahu	Fdiijx	68	73	76	64	69	82	50	57	57
Abcwvr	Meuyih	76	61	73	79	83	87	81	50	72
Abgrld	Pwoigm	91	72	76	66	64	80	96	84	97
Abiacw	Mwoixz	69	57	66	82	80	72	100	72	88
Abjvwp	Slqnmt	100	86	95	97	66	61	60	62	83
Abkvze	Lspgiw	91	95	77	100	50	55	50	58	52
Abmgdm	Xzduqy	50	84	65	50	60	61	57	77	66
Abuwhl	Snamrc	63	71	89	78	100	95	82	87	94
Abvaew	Bfpqxu	86	86	74	100	50	50	50	50	48
Abwzcp	Ijmbjg	68	58	85	50	62	67	65	67	63
Abznqr	Zsmoxl	82	50	66	74	83	81	85	82	80
Acadco	Smarwk	71	64	65	66	52	56	50	50	52
Acbqgl	Dbqusm	96	73	81	74	79	50	50	50	54
Acenmq	Gxowgk	86	100	100	100	100	95	100	94	100
Achbte	Oahsmg	89	86	91	93	62	56	56	57	57
Aclkgf	Ojtzeu	96	78	84	85	100	97	50	100	80
Acoelg	Ecnbbi	99	98	79	100	56	55	56	53	56
Aconwf	Eljlon	96	100	100	100	66	50	63	78	64
Acosnq	Vwjtrd	84	80	99	90	100	58	74	50	47
Acoxtb	Fltshs	50	100	97	91	56	53	67	59	47
Acrcwy	Jxnoyb	65	100	82	100	82	100	80	72	81
Actjnd	Ogosez	57	66	100	70	94	89	97	86	94
Acudvd	Vhfmgr	77	95	100	100	100	72	84	100	87
Acwkyi	Siiyfd	91	100	100	100	68	66	73	72	70
Aczvoo	Kkcasm	50	100	74	78	88	97	74	54	72
Adaywi	Qozmxj	57	100	100	50	95	91	99	93	85
Adfjux	Dwngjj	60	68	64	60	78	52	73	54	75
Adgunv	Qxficl	69	97	81	81	63	76	81	75	74
Adlacw	Chltxa	50	94	100	87	76	50	100	81	76
Admkjj	Dstbex	73	69	75	84	82	95	90	62	89
Admunk	Xoqgic	92	91	74	60	50	66	50	80	67
Adogfp	Cjdcsa	98	100	91	100	52	64	62	77	54
Adsdgz	Sjwnye	65	63	100	100	86	80	79	77	81
Advyir	Eeejpn	100	84	100	82	100	96	99	97	98
Aecvbd	Scnlno	100	100	100	50	93	95	88	84	92
Aedsrs	Kuhwdm	97	100	98	79	69	63	67	80	72
Aedwmt	Ewwzbq	71	90	50	62	95	95	100	89	95
Aehtod	Loaszh	76	50	100	74	65	61	56	65	56
