0.25
0.35
0.4
60
Asmus	Adalberto	100	95	97	99	100	100	90	95	100
Avendano	Bridgett	85	69	75	78	40	70	70	70	71
Bakker	Rocco	95	67	90	100	40	93	72	95	78
Baze	Timmy	94	73	91	98	40	70	70	70	53
Boles	Jesse	100	89	98	100	85	100	90	70	100
Brant	Fabian	70	91	95	99	95	98	100	95	92
Calabria	Isidro	100	95	98	99	99	99	100	100	78
Castellanos	Sophie	95	93	94	100	80	98	90	90	94
Catalan	Leonila	100	94	99	100	92	93	70	93	87
Chamberlain	Landon	80	88	94	84	96	98	73	70	88
Cleghorn	Theodore	84	75	96	100	97	97	85	95	71
Couture	Oleta	100	89	94	100	96	100	70	95	80
Distefano	Margart	100	93	97	94	96	70	82	78	59
Eshleman	Kali	100	90	96	100	90	84	90	100	92
Ferrera	Jeffery	90	95	99	98	80	98	82	75	81
Fife	Roselee	100	94	99	100	97	93	70	95	79
Footman	Frank	41	77	94	99	60	80	78	70	73
Gallaway	Lue	100	77	100	99	96	97	65	93	62
Giunta	Barney	100	92	97	100	97	100	70	95	71
Gladden	Alexa	100	94	98	94	97	80	90	90	100
Grandy	Jed	100	66	85	99	90	92	58	55	26
Gregory	Carolee	100	92	97	94	92	100	70	70	63
Grief	Tim	100	93	98	99	100	98	75	70	60
Hakim	Bert	100	86	96	100	90	84	85	100	57
Heatherington	Lonny	99	84	95	98	92	98	82	70	59
Hemsley	Mandie	100	91	96	100	96	97	70	93	81
Hochstetler	Dominic	100	97	95	100	100	100	90	100	97
Hopper	Daron	85	95	97	100	70	85	70	100	100
Hotchkiss	Lucas	100	92	99	78	97	98	83	70	88
Jinks	Edelmira	100	87	97	98	85	100	100	75	94
Junge	Violette	100	94	97	99	77	99	70	93	77
Karp	Joi	99	84	98	95	96	95	70	70	79
Lis	Akilah	100	74	94	94	77	94	95	99	54
Littles	Valrie	97	73	96	95	95	97	70	90	42
Lonzo	Lakenya	100	96	99	99	97	100	100	95	100
Luff	Kelsey	100	89	96	100	91	97	70	93	62
Mayhugh	Levi	95	78	97	100	90	92	90	95	89
Mcgrory	Palmer	100	79	98	99	90	70	70	70	89
Minarik	Mariette	100	91	98	83	96	100	70	95	44
Morrell	Ryan	70	82	84	100	80	98	90	74	86
Nish	Hong	100	36	93	88	96	100	70	95	30
Paulson	Vincenza	100	55	96	90	67	98	70	70	75
Phares	Kesha	99	88	96	90	100	97	83	95	84
Reno	Joan	100	35	68	98	97	70	70	70	83
Rivard	Brandee	100	87	95	99	90	100	70	95	83
Roberge	Lon	100	87	97	99	92	100	83	95	70
Rolf	Ben	91	66	90	95	50	80	53	70	85
Sain	Shanna	100	84	98	99	85	100	92	75	84
Schwindt	Otto	45	89	98	99	87	70	100	70	67
Seawright	Odell	100	87	93	84	95	99	58	70	87
Shih	Tobie	100	94	98	100	100	95	83	95	70
Skillings	Raye	100	53	97	100	96	98	95	70	40
Spidle	Jefferey	100	53	94	80	96	80	85	75	65
Stanko	Svetlana	100	64	40	100	100	70	70	70	30
Steigerwald	Sueann	100	83	93	94	96	98	67	78	60
Vrba	Chi	100	84	97	100	97	80	70	70	58
Wayt	Jacque	91	61	87	95	95	70	90	70	67
Wenger	Rhea	99	88	91	100	97	98	92	94	83
Wertz	Shaunda	100	95	97	94	97	100	80	70	62
Wolery	Reginald	85	80	96	98	96	98	82	95	81
